hisse,fark,adet2,tks2,tip,donem,yukleme
MGROS,2291989,31641284,96563547,yabanci,2026_01,2026-04-18 13:52
TTKOM,2257730,226504563,524999999,yabanci,2026_01,2026-04-18 13:52
ARCLK,2234907,23026921,170054748,yabanci,2026_01,2026-04-18 13:52
TEKTU,2233599,4407963,195639308,yabanci,2026_01,2026-04-18 13:52
GESAN,2203588,13864413,141759180,yabanci,2026_01,2026-04-18 13:52
MANAS,2192069,2192070,149942371,yabanci,2026_01,2026-04-18 13:52
ESEN,2131285,37735115,682499950,yabanci,2026_01,2026-04-18 13:52
ARSAN,2000516,3359421,887344274,yabanci,2026_01,2026-04-18 13:52
VESTL,1966330,8597262,295447203,yabanci,2026_01,2026-04-18 13:52
CIMSA,1858040,39374616,488404404,yabanci,2026_01,2026-04-18 13:52
MOGAN,1829492,13801798,262635000,yabanci,2026_01,2026-04-18 13:52
SOKM,1753263,152909459,448708248,yabanci,2026_01,2026-04-18 13:52
AGESA,1673219,21176837,35829553,yabanci,2026_01,2026-04-18 13:52
LRSHO,1613457,13791730,724120946,yabanci,2026_01,2026-04-18 13:52
MPARK,1563075,32018558,80869110,yabanci,2026_01,2026-04-18 13:52
ARMGD,1551965,1708036,54996000,yabanci,2026_01,2026-04-18 13:52
HDFGS,1549903,1722507,956974190,yabanci,2026_01,2026-04-18 13:52
LILAK,1547010,7357565,260252730,yabanci,2026_01,2026-04-18 13:52
AZTEK,1545248,4430560,279000000,yabanci,2026_01,2026-04-18 13:52
IZMDC,1531639,43135205,723225318,yabanci,2026_01,2026-04-18 13:52
KOTON,1505262,1686263,136599960,yabanci,2026_01,2026-04-18 13:52
LYDHO,1471992,8485030,197140910,yabanci,2026_01,2026-04-18 13:52
TATGD,1408902,10737360,119284718,yabanci,2026_01,2026-04-18 13:52
GUBRF,1299452,9823437,85359737,yabanci,2026_01,2026-04-18 13:52
DURKN,1297870,1473504,42500000,yabanci,2026_01,2026-04-18 13:52
KRDMB,1289522,3086479,118762110,yabanci,2026_01,2026-04-18 13:52
CONSE,1191247,7224566,377854899,yabanci,2026_01,2026-04-18 13:52
DITAS,1167977,2127507,83407812,yabanci,2026_01,2026-04-18 13:52
BUCIM,1138958,46035687,1286538062,yabanci,2026_01,2026-04-18 13:52
ENKAI,1128869,222125485,874736059,yabanci,2026_01,2026-04-18 13:52
ALTNY,1089966,15445435,399889404,yabanci,2026_01,2026-04-18 13:52
AYDEM,1060763,25372918,130000000,yabanci,2026_01,2026-04-18 13:52
SOKE,1044146,2682017,126999996,yabanci,2026_01,2026-04-18 13:52
IHAAS,1015520,26742390,56031248,yabanci,2026_01,2026-04-18 13:52
MNDTR,1012690,750662800,910071938,yabanci,2026_01,2026-04-18 13:52
ZRGYO,999829,81669541,1173404997,yabanci,2026_01,2026-04-18 13:52
