hisse,adet2,adet_fark,tks2,oran2,pp_fark,dolasim_pct,kurum,donem,tip,yukleme
CWENE,1620279,138374,492223916,0.3292,0.0281,0.0281,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
GWIND,463699,134707,179165491,0.2588,0.0752,0.0752,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
MEPET,492534,129993,73940585,0.6661,0.1758,0.1758,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
DITAS,250180,124291,41703723,0.5999,0.298,0.298,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
EUYO,455885,108337,19932876,2.2871,0.5435,0.5435,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
EPLAS,54914153,107222,190491857,28.8276,0.0563,0.0563,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
BAYRK,843925,102951,42857336,1.9691,0.2402,0.2402,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
BRMEN,947652,101452,44445252,2.1322,0.2283,0.2283,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
PRDGS,2759635,98380,110850000,2.4895,0.0887,0.0888,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
CRFSA,163891,93179,18313273,0.8949,0.5088,0.5088,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
RODRG,347313,90774,16312352,2.1291,0.5564,0.5565,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
IZENR,7550465,90273,914537597,0.8256,0.0099,0.0099,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
ULKER,618512,85965,338855989,0.1825,0.0253,0.0254,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
SANKO,379137,83448,37499197,1.0111,0.2226,0.2225,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
MNDRS,879976,83124,222007982,0.3964,0.0375,0.0374,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
LIDFA,2410762,83011,234964383,1.026,0.0353,0.0353,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
TTKOM,917152,82779,524999999,0.1747,0.0158,0.0158,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
EUHOL,1253047,81222,142999952,0.8763,0.0568,0.0568,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
BMSCH,536579,78900,69277402,0.7745,0.1139,0.1139,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
MOBTL,2795435,77150,207999999,1.344,0.0371,0.0371,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
AYEN,1157644,75570,55531319,2.0847,0.1361,0.1361,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
KOTON,1033069,75141,136599960,0.7563,0.055,0.055,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
AGYO,384689,72217,129036248,0.2981,0.0559,0.056,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
SANFM,6446883,70307,225030001,2.8649,0.0312,0.0312,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
RYGYO,1730601,67590,770563057,0.2246,0.0088,0.0088,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
AVTUR,2937961,67198,44967999,6.5334,0.1494,0.1494,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
DOGUB,357201,66236,19821566,1.8021,0.3342,0.3342,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
GOKNR,816379,65695,167285655,0.488,0.0393,0.0393,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
ENERY,3756895,64851,2420687469,0.1552,0.0027,0.0027,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
BURVA,321770,63519,4723271,6.8124,1.3448,1.3448,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
PLTUR,1205305,62796,49499999,2.435,0.1269,0.1269,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
EUPWR,1289370,62051,199610450,0.6459,0.031,0.0311,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
ALCTL,166864,61527,13543148,1.2321,0.4543,0.4543,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
MARKA,251470,57760,20487018,1.2275,0.282,0.2819,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
GESAN,825995,49514,141759180,0.5827,0.035,0.0349,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
BYDNR,293787,49403,17999984,1.6322,0.2745,0.2745,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
DYOBY,473681,46418,186553687,0.2539,0.0249,0.0249,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
ARENA,428156,43528,66996461,0.6391,0.065,0.065,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
KERVN,1545548,42933,588346973,0.2627,0.0073,0.0073,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
EGEGY,737538,41080,61200000,1.2051,0.0671,0.0671,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
LKMNH,222176,39042,163262533,0.1361,0.0239,0.0239,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
HTTBT,156523,38775,82805422,0.189,0.0468,0.0468,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
BARMA,827466,38562,60280939,1.3727,0.064,0.064,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
EUKYO,275204,38118,19899962,1.3829,0.1915,0.1915,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
ANELE,479047,36560,151405542,0.3164,0.0241,0.0241,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
SKYLP,311699,35687,7483457,4.1652,0.4769,0.4769,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
YAYLA,3399923,35023,39874966,8.5265,0.0879,0.0878,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
ALFAS,451976,33781,84639119,0.534,0.0399,0.0399,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
YEOTK,843045,33232,160933198,0.5238,0.0206,0.0206,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
ENJSA,490183,33163,236211770,0.2075,0.014,0.014,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
KRONT,261310,32891,116892885,0.2235,0.0281,0.0281,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
MOGAN,2219778,31004,262634933,0.8452,0.0118,0.0118,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
FADE,439349,30645,42347497,1.0375,0.0724,0.0724,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
UNLU,386497,30595,84681519,0.4564,0.0361,0.0361,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
AVPGY,185592,29886,100000000,0.1856,0.0299,0.0299,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
BEYAZ,404223,29864,42317352,0.9552,0.0706,0.0706,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
TNZTP,785652,27869,87496826,0.8979,0.0318,0.0319,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
BASGZ,163732,27393,174999998,0.0936,0.0157,0.0157,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
MACKO,276291,25440,41500000,0.6658,0.0613,0.0613,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
KLMSN,214450,24220,30881297,0.6944,0.0784,0.0784,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
EGGUB,109227,23627,75860131,0.144,0.0312,0.0311,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
CONSE,3896408,22420,377854899,1.0312,0.0059,0.0059,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
VKFYO,282434,22272,26462400,1.0673,0.0842,0.0842,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
KLSER,734603,21883,109457095,0.6711,0.02,0.02,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
DOKTA,273675,21661,145872862,0.1876,0.0148,0.0148,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
HKTM,4422895,21384,72750000,6.0796,0.0294,0.0294,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
LUKSK,67985,20411,27257202,0.2494,0.0749,0.0749,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
PSDTC,60791,19521,6599991,0.9211,0.2958,0.2958,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
BINBN,190797,16878,17000000,1.1223,0.0992,0.0993,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
