hisse,yab_fark,tks2,donem,yukleme
TSGYO,7,266499982,2026_01_01,2026-04-18 16:38
ETILR,2,156217454,2026_01_01,2026-04-18 16:38
SNPAM,0,19679871,2026_01_01,2026-04-18 16:38
KRATL,0,17800000,2026_01_01,2026-04-18 16:38
SONME,0,4170258,2026_01_01,2026-04-18 16:38
ASYAB,0,477904801,2026_01_01,2026-04-18 16:38
CELHA,0,146124228,2026_01_01,2026-04-18 16:38
ATEKS,0,5441598,2026_01_01,2026-04-18 16:38
DGGYO,0,280709437,2026_01_01,2026-04-18 16:38
ATPET,0,11403497,2026_01_01,2026-04-18 16:38
ANGEN,0,84250000,2026_01_01,2026-04-18 16:38
TDGYO,0,59914214,2026_01_01,2026-04-18 16:38
KSTUR,0,3952041,2026_01_01,2026-04-18 16:38
AKSUE,0,56376184,2026_01_01,2026-04-18 16:38
IHEVA,0,291631239,2026_01_01,2026-04-18 16:38
AKYHO,0,223895870,2026_01_01,2026-04-18 16:38
GLBMD,0,28880500,2026_01_01,2026-04-18 16:38
DOGUB,0,19821566,2026_01_01,2026-04-18 16:38
OYAYO,0,19999941,2026_01_01,2026-04-18 16:38
OYLUM,0,80937367,2026_01_01,2026-04-18 16:38
GLDTRF,0,45100000,2026_01_01,2026-04-18 16:38
TRHOL,0,17635692,2026_01_01,2026-04-18 16:38
LIOYS,0,31625013,2026_01_01,2026-04-18 16:38
OZRDN,0,57107579,2026_01_01,2026-04-18 16:38
ISBIR,0,14498776,2026_01_01,2026-04-18 16:38
ENPRA,0,15294301,2026_01_01,2026-04-18 16:38
CMENT,0,56829666,2026_01_01,2026-04-18 16:38
BRMEN,0,57480285,2026_01_01,2026-04-18 16:38
GOLDS,0,192323946,2026_01_01,2026-04-18 16:38
CRDFA,0,74996853,2026_01_01,2026-04-18 16:38
MANAS,0,127852000,2026_01_01,2026-04-18 16:38
MANGO,0,37831688,2026_01_01,2026-04-18 16:38
UKIM,0,2053621,2026_01_01,2026-04-18 16:38
ULAS,0,25200172,2026_01_01,2026-04-18 16:38
ARTOG,0,18591534,2026_01_01,2026-04-18 16:38
GRNYO,0,37386059,2026_01_01,2026-04-18 16:38
ARAT,0,39867975,2026_01_01,2026-04-18 16:38
UNTAR,0,29562129,2026_01_01,2026-04-18 16:38
UZEL,0,26334293,2026_01_01,2026-04-18 16:38
ERSU,0,31755894,2026_01_01,2026-04-18 16:38
MEGAP,0,234498757,2026_01_01,2026-04-18 16:38
PRZMA,0,61941154,2026_01_01,2026-04-18 16:38
PSDTC,0,6599991,2026_01_01,2026-04-18 16:38
ARBUL,0,15459297,2026_01_01,2026-04-18 16:38
QNBFK,0,843137646,2026_01_01,2026-04-18 16:38
QNBTR,0,1566427106,2026_01_01,2026-04-18 16:38
MEMSA,0,160110709,2026_01_01,2026-04-18 16:38
MENBA,0,3496852,2026_01_01,2026-04-18 16:38
RNPOL,0,16795000,2026_01_01,2026-04-18 16:38
KENT,0,1191005,2026_01_01,2026-04-18 16:38
KERVN,0,588346973,2026_01_01,2026-04-18 16:38
GUNDG,0,18968972,2026_01_01,2026-04-18 16:38
SANEL,0,18112451,2026_01_01,2026-04-18 16:38
